
*** ChampSim Multicore Out-of-Order Simulator ***

Warmup Instructions: 10000
Simulation Instructions: 2000000
Number of CPUs: 1
Off-chip DRAM Size: 4 GiB Channels: 1 Width: 64-bit Data Rate: 3200 MT/s

VirtualMemory physical capacity: 8588881920 num_ppages: 2096895
VirtualMemory page size: 4096 log2_page_size: 12

CPU 0 runs ./traces/400.perlbench-41B.champsimtrace.xz
CPU 0 Bimodal branch predictor
Basic BTB sets: 1024 ways: 8 indirect buffer size: 4096 RAS size: 64
[INFO] Current addr: 3813653888, Transformer predicted: 3813653952
[INFO] Current addr: 4530009152, Transformer predicted: 7003292224
[INFO] Current addr: 6868107776, Transformer predicted: 7003292224
[INFO] Current addr: 6868107840, Transformer predicted: 7003292288
[INFO] Current addr: 7929167872, Transformer predicted: 3386491776
[INFO] Current addr: 6829180416, Transformer predicted: 6829180480
[INFO] Current addr: 6829180480, Transformer predicted: 6837117888
[INFO] Current addr: 6868108224, Transformer predicted: 6868108160
[INFO] Current addr: 782051328, Transformer predicted: 2929535040
[INFO] Current addr: 782051392, Transformer predicted: 2929535104
[INFO] Current addr: 782051456, Transformer predicted: 2929535168
[INFO] Current addr: 782051520, Transformer predicted: 6868107904
[INFO] Current addr: 6868107904, Transformer predicted: 6868107840
[INFO] Current addr: 2676041280, Transformer predicted: 7616001280
[INFO] Current addr: 6868107968, Transformer predicted: 2419192384
[INFO] Current addr: 2419192384, Transformer predicted: 5879034560
[INFO] Current addr: 5879034560, Transformer predicted: 5880790272
[INFO] Current addr: 5880790272, Transformer predicted: 1572579584
[INFO] Current addr: 1572579584, Transformer predicted: 5880790464
[INFO] Current addr: 5880790464, Transformer predicted: 5880790528
[INFO] Current addr: 5880790528, Transformer predicted: 6868107648
[INFO] Current addr: 6868107648, Transformer predicted: 6868107712
[INFO] Current addr: 6868107712, Transformer predicted: 3471373568
[INFO] Current addr: 3471373568, Transformer predicted: 7616001344
[INFO] Current addr: 7616001344, Transformer predicted: 1788343552
[INFO] Current addr: 1788343552, Transformer predicted: 3471373632
[INFO] Current addr: 3471373632, Transformer predicted: 3471373312
[INFO] Current addr: 3471373312, Transformer predicted: 1281715456
[INFO] Current addr: 1281715456, Transformer predicted: 1281715520
[INFO] Current addr: 1281715520, Transformer predicted: 1281715584
[INFO] Current addr: 1281715584, Transformer predicted: 3471373248
[INFO] Current addr: 3471373248, Transformer predicted: 7163569792
[INFO] Current addr: 7163569792, Transformer predicted: 7163569856
[INFO] Current addr: 7163569856, Transformer predicted: 7163569920
[INFO] Current addr: 7163569920, Transformer predicted: 4992478720
[INFO] Current addr: 4992478720, Transformer predicted: 8474182016
[INFO] Current addr: 7929168256, Transformer predicted: 3377435968
[INFO] Current addr: 7163569984, Transformer predicted: 3377436096
[INFO] Current addr: 156210624, Transformer predicted: 2419192320
[INFO] Current addr: 2419192320, Transformer predicted: 2419192448
[INFO] Current addr: 2098250368, Transformer predicted: 7163570048
[INFO] Current addr: 7163570048, Transformer predicted: 3813650560
[INFO] Current addr: 6109024384, Transformer predicted: 3813650560
[INFO] Current addr: 7163570432, Transformer predicted: 7163570496
[INFO] Current addr: 7163570496, Transformer predicted: 7163571840
[INFO] Current addr: 6458232832, Transformer predicted: 7163571456
[INFO] Current addr: 7163571456, Transformer predicted: 7163571776
[INFO] Current addr: 7163571776, Transformer predicted: 7163571840
[INFO] Current addr: 7163571840, Transformer predicted: 7081077696
[INFO] Current addr: 7081077696, Transformer predicted: 7163570560
[INFO] Current addr: 7163570560, Transformer predicted: 7163570624
[INFO] Current addr: 7163570624, Transformer predicted: 7163571712
[INFO] Current addr: 7163571712, Transformer predicted: 7163570688
[INFO] Current addr: 7163570688, Transformer predicted: 7163570752
[INFO] Current addr: 7163570752, Transformer predicted: 7163571904
[INFO] Current addr: 7163571904, Transformer predicted: 5212120384
[INFO] Current addr: 5212120384, Transformer predicted: 6603708928
[INFO] Current addr: 6603708928, Transformer predicted: 6603708992
[INFO] Current addr: 6603708992, Transformer predicted: 6603709120
[INFO] Current addr: 6603709120, Transformer predicted: 6603709056
[INFO] Current addr: 6603709056, Transformer predicted: 6603709184
[INFO] Current addr: 6603709184, Transformer predicted: 2416373824
[INFO] Current addr: 268890176, Transformer predicted: 2416373888
[INFO] Current addr: 268890240, Transformer predicted: 2416374016
[INFO] Current addr: 3471372288, Transformer predicted: 6603709248
[INFO] Current addr: 6603709248, Transformer predicted: 2416374016
[INFO] Current addr: 268890368, Transformer predicted: 2416374080
[INFO] Current addr: 268890432, Transformer predicted: 2416375232
[INFO] Current addr: 268891584, Transformer predicted: 3017438400
[INFO] Current addr: 4530009280, Transformer predicted: 2416375872
[INFO] Current addr: 268892224, Transformer predicted: 2416375360
[INFO] Current addr: 268891712, Transformer predicted: 2416375424
[INFO] Current addr: 5654277696, Transformer predicted: 3471372608
[INFO] Current addr: 268891776, Transformer predicted: 2416375488
[INFO] Current addr: 3471372608, Transformer predicted: 2416376832
[INFO] Current addr: 268891136, Transformer predicted: 5654277696
[INFO] Current addr: 268893184, Transformer predicted: 2416376896
[INFO] Current addr: 268893248, Transformer predicted: 3377436224
[INFO] Current addr: 156210752, Transformer predicted: 2416376960
[INFO] Current addr: 268893312, Transformer predicted: 2419193024
[INFO] Current addr: 2419193024, Transformer predicted: 2419193088
[INFO] Current addr: 2419193088, Transformer predicted: 2416377280
[INFO] Current addr: 268893632, Transformer predicted: 2416377344
[INFO] Current addr: 268893696, Transformer predicted: 2416377408
[INFO] Current addr: 268893760, Transformer predicted: 7655523456
[INFO] Current addr: 7655523456, Transformer predicted: 7655523520
[INFO] Current addr: 7655523520, Transformer predicted: 3813650496
[INFO] Current addr: 6109024320, Transformer predicted: 3083470848
[INFO] Current addr: 7655523584, Transformer predicted: 7655523648
[INFO] Current addr: 7655523648, Transformer predicted: 6109027456
[INFO] Current addr: 3813653632, Transformer predicted: 6109027520
[INFO] Current addr: 157941824, Transformer predicted: 1231685632
[INFO] Current addr: 3083470848, Transformer predicted: 6109027520
[INFO] Current addr: 3813653952, Transformer predicted: 6109027520
[INFO] Current addr: 157943616, Transformer predicted: 1231684928
[INFO] Current addr: 157943104, Transformer predicted: 1231685376
[INFO] Current addr: 3813652992, Transformer predicted: 6109026560
[INFO] Current addr: 5517112256, Transformer predicted: 5517112320
[INFO] Current addr: 5517112320, Transformer predicted: 1231685056
[INFO] Current addr: 157943232, Transformer predicted: 5517112384
[INFO] Current addr: 5517112384, Transformer predicted: 5816730368
[INFO] Current addr: 448021248, Transformer predicted: 5816730432
[INFO] Current addr: 448021312, Transformer predicted: 6109027392
[INFO] Current addr: 3813653568, Transformer predicted: 3813653248
[INFO] Current addr: 448022848, Transformer predicted: 5816732032
[INFO] Current addr: 448021440, Transformer predicted: 5517112448
[INFO] Current addr: 5517112448, Transformer predicted: 5517112512
[INFO] Current addr: 5517112512, Transformer predicted: 5517112768
[INFO] Current addr: 5517112768, Transformer predicted: 4456537344
[INFO] Current addr: 3813652928, Transformer predicted: 5517112384
[INFO] Current addr: 157943168, Transformer predicted: 1164128320
[INFO] Current addr: 3813653440, Transformer predicted: 3813651072
[INFO] Current addr: 448021504, Transformer predicted: 5816732672
[INFO] Current addr: 448023552, Transformer predicted: 3669249088
[INFO] Current addr: 448023616, Transformer predicted: 3669246848
[INFO] Current addr: 6502316032, Transformer predicted: 6502316096
[INFO] Current addr: 6502316096, Transformer predicted: 6502316544
[INFO] Current addr: 6502316544, Transformer predicted: 6502316992
[INFO] Current addr: 6502316608, Transformer predicted: 6502316992
[INFO] Current addr: 6502316992, Transformer predicted: 6502316416
[INFO] Current addr: 6502316416, Transformer predicted: 6502316992
[INFO] Current addr: 3657332352, Transformer predicted: 1231686336
[INFO] Current addr: 6502317120, Transformer predicted: 3669246016
[INFO] Current addr: 448020544, Transformer predicted: 4052001664
[INFO] Current addr: 448021376, Transformer predicted: 2189739456
[INFO] Current addr: 7524894144, Transformer predicted: 1851918912
[INFO] Current addr: 1851918912, Transformer predicted: 5564852224
[INFO] Current addr: 5564852224, Transformer predicted: 4914598336
[INFO] Current addr: 4914598336, Transformer predicted: 6335446592
[INFO] Current addr: 6335446592, Transformer predicted: 5564852288
[INFO] Current addr: 5564852288, Transformer predicted: 4276782400
[INFO] Current addr: 4276782400, Transformer predicted: 3013262784
[INFO] Current addr: 3013262784, Transformer predicted: 3013262720
[INFO] Current addr: 3013262720, Transformer predicted: 5352997696
[INFO] Current addr: 5564852352, Transformer predicted: 4210662016
[INFO] Current addr: 4210662016, Transformer predicted: 2670367488
[INFO] Current addr: 2670367488, Transformer predicted: 3438492480
[INFO] Current addr: 3438492480, Transformer predicted: 1747816384
[INFO] Current addr: 1747816384, Transformer predicted: 1479359680
[INFO] Current addr: 405617856, Transformer predicted: 3438492544
[INFO] Current addr: 3438492544, Transformer predicted: 5879035456
[INFO] Current addr: 5879035456, Transformer predicted: 1845408512
[INFO] Current addr: 1845408512, Transformer predicted: 3438492608
[INFO] Current addr: 3438492608, Transformer predicted: 2676041344
[INFO] Current addr: 2676041344, Transformer predicted: 2676041536
[INFO] Current addr: 4400613184, Transformer predicted: 5205212672
[INFO] Current addr: 5205212672, Transformer predicted: 3438492416
[INFO] Current addr: 5419252480, Transformer predicted: 1654177920
[INFO] Current addr: 1654177920, Transformer predicted: 5041650624
[INFO] Current addr: 4647386048, Transformer predicted: 3438492480
[INFO] Current addr: 5419252544, Transformer predicted: 4276783168
[INFO] Current addr: 4276783168, Transformer predicted: 1851918784
[INFO] Current addr: 1851918784, Transformer predicted: 3647721984
[INFO] Current addr: 3647721984, Transformer predicted: 8587978688
[INFO] Current addr: 8587978688, Transformer predicted: 3415891648
[INFO] Current addr: 3415891648, Transformer predicted: 3647722048
[INFO] Current addr: 3647722048, Transformer predicted: 6112711360
[INFO] Current addr: 6112711360, Transformer predicted: 2044114304
[INFO] Current addr: 2044114304, Transformer predicted: 3654352448
[INFO] Current addr: 433126976, Transformer predicted: 3654352512
[INFO] Current addr: 433127040, Transformer predicted: 2971156544
[INFO] Current addr: 2971156544, Transformer predicted: 6802089088
[INFO] Current addr: 6802089088, Transformer predicted: 3654352576
[INFO] Current addr: 433127104, Transformer predicted: 6093667456
[INFO] Current addr: 6093667456, Transformer predicted: 6515974336
[INFO] Current addr: 6515974336, Transformer predicted: 3654352640
[INFO] Current addr: 433127168, Transformer predicted: 3067446464
[INFO] Current addr: 3067446464, Transformer predicted: 3330122560
[INFO] Current addr: 3330122560, Transformer predicted: 2898558080
[INFO] Current addr: 751074432, Transformer predicted: 2676041408
[INFO] Current addr: 2676041408, Transformer predicted: 8109217344
[INFO] Current addr: 8109217344, Transformer predicted: 2044113152
[INFO] Current addr: 2044113152, Transformer predicted: 2898558144
[INFO] Current addr: 751074496, Transformer predicted: 2219059136
[INFO] Current addr: 2219059136, Transformer predicted: 6055456192
[INFO] Current addr: 6055456192, Transformer predicted: 2898558208
[INFO] Current addr: 751074560, Transformer predicted: 3662315264
[INFO] Current addr: 3662315264, Transformer predicted: 3762742976
[INFO] Current addr: 3762742976, Transformer predicted: 7217128448
[INFO] Current addr: 7217128448, Transformer predicted: 7968325056
[INFO] Current addr: 7968325056, Transformer predicted: 5312100672
[INFO] Current addr: 5312100672, Transformer predicted: 8034157120
[INFO] Current addr: 1663010240, Transformer predicted: 2416373952
[INFO] Current addr: 268890304, Transformer predicted: 5654277760
[INFO] Current addr: 5654277760, Transformer predicted: 6112711424
[INFO] Current addr: 6112711424, Transformer predicted: 6299005568
[INFO] Current addr: 6299005568, Transformer predicted: 6299005504
[INFO] Current addr: 6299005504, Transformer predicted: 7217128512
[INFO] Current addr: 7217128512, Transformer predicted: 7217128576
[INFO] Current addr: 3471373888, Transformer predicted: 3648008384
[INFO] Current addr: 3648008384, Transformer predicted: 3648008448
[INFO] Current addr: 3648008448, Transformer predicted: 3648008512
[INFO] Current addr: 3648008512, Transformer predicted: 3648008576
[INFO] Current addr: 3648008576, Transformer predicted: 3648008768
[INFO] Current addr: 3648008768, Transformer predicted: 1998139456
[INFO] Current addr: 1998139456, Transformer predicted: 1998139520
[INFO] Current addr: 1998139520, Transformer predicted: 7081077760
[INFO] Current addr: 7081077760, Transformer predicted: 1802783616
[INFO] Current addr: 1802783616, Transformer predicted: 4697895936
[INFO] Current addr: 4697895936, Transformer predicted: 1802783680
[INFO] Current addr: 1802783680, Transformer predicted: 1802783744
[INFO] Current addr: 1802783744, Transformer predicted: 1802784576
[INFO] Current addr: 1802784576, Transformer predicted: 7003594240
[INFO] Current addr: 7003594240, Transformer predicted: 1625126336
[INFO] Current addr: 7569551360, Transformer predicted: 7569553216
[INFO] Current addr: 7569553216, Transformer predicted: 1625126528
[INFO] Current addr: 1625126528, Transformer predicted: 1625126592
[INFO] Current addr: 1625126592, Transformer predicted: 1625126656
[INFO] Current addr: 1625126656, Transformer predicted: 1625126848
[INFO] Current addr: 1625126848, Transformer predicted: 7003591744
[INFO] Current addr: 7003591744, Transformer predicted: 1625126720
[INFO] Current addr: 1625126720, Transformer predicted: 7003591680
[INFO] Current addr: 7003591680, Transformer predicted: 1625127232
[INFO] Current addr: 1625127232, Transformer predicted: 1625127296
[INFO] Current addr: 1625127296, Transformer predicted: 1625126784
[INFO] Current addr: 1625126784, Transformer predicted: 4774417856
[INFO] Current addr: 1802783808, Transformer predicted: 7569551424
[INFO] Current addr: 4774417856, Transformer predicted: 1802783808
[INFO] Current addr: 7569551424, Transformer predicted: 7569553024
[INFO] Current addr: 7569553024, Transformer predicted: 1625125696
[INFO] Current addr: 1625125696, Transformer predicted: 1625125760
[INFO] Current addr: 1625125760, Transformer predicted: 4616847488
[INFO] Current addr: 1625125888, Transformer predicted: 4616847488
[INFO] Current addr: 4616847488, Transformer predicted: 1754589376
[INFO] Current addr: 1754589376, Transformer predicted: 1754589440
[INFO] Current addr: 1754589440, Transformer predicted: 5623485504
[INFO] Current addr: 1131635776, Transformer predicted: 1754589504
[INFO] Current addr: 1754589504, Transformer predicted: 7613069376
[INFO] Current addr: 96876608, Transformer predicted: 6240532864
[INFO] Current addr: 2617440640, Transformer predicted: 3971878720
[INFO] Current addr: 3971878720, Transformer predicted: 7998994944
[INFO] Current addr: 1112603136, Transformer predicted: 1112603200
[INFO] Current addr: 1112603200, Transformer predicted: 1112603264
[INFO] Current addr: 1112603264, Transformer predicted: 1112603328
[INFO] Current addr: 1112603328, Transformer predicted: 1754589568
[INFO] Current addr: 1754589568, Transformer predicted: 7836559360
[INFO] Current addr: 7836559360, Transformer predicted: 5948176256
[INFO] Current addr: 5948176256, Transformer predicted: 5948176320
[INFO] Current addr: 5948176320, Transformer predicted: 5948176384
[INFO] Current addr: 4616847552, Transformer predicted: 7622299136
[INFO] Current addr: 1625125824, Transformer predicted: 7622299264
[INFO] Current addr: 7622299264, Transformer predicted: 7622299392
[INFO] Current addr: 7622299392, Transformer predicted: 7569551488
[INFO] Current addr: 7569551488, Transformer predicted: 7569551552
[INFO] Current addr: 7569551552, Transformer predicted: 7569552704
[INFO] Current addr: 7569552704, Transformer predicted: 7569552640
[INFO] Current addr: 7569552768, Transformer predicted: 7569551616
[INFO] Current addr: 7569551616, Transformer predicted: 7569552640
[INFO] Current addr: 7569552640, Transformer predicted: 1802784512
[INFO] Current addr: 1802784512, Transformer predicted: 1998139584
[INFO] Current addr: 1998139584, Transformer predicted: 7081078400
[INFO] Current addr: 7081078400, Transformer predicted: 1998139648
[INFO] Current addr: 1998139648, Transformer predicted: 3648008832
[INFO] Current addr: 3648008832, Transformer predicted: 3648008640
[INFO] Current addr: 3648008640, Transformer predicted: 1625125440
[INFO] Current addr: 1625125440, Transformer predicted: 1625125504
[INFO] Current addr: 1625125504, Transformer predicted: 3648008704
[INFO] Current addr: 3648008704, Transformer predicted: 6985210368
[INFO] Current addr: 6985210368, Transformer predicted: 6985210432
[INFO] Current addr: 6985210432, Transformer predicted: 1743896192
[INFO] Current addr: 1743896192, Transformer predicted: 6093666432
[INFO] Current addr: 6093666432, Transformer predicted: 5880787968
[INFO] Current addr: 5880787968, Transformer predicted: 5880788032
[INFO] Current addr: 5880788032, Transformer predicted: 5880788608
[INFO] Current addr: 5880788608, Transformer predicted: 5880788672
[INFO] Current addr: 5880788672, Transformer predicted: 7003591808
[INFO] Current addr: 7003591808, Transformer predicted: 6112711936
[INFO] Current addr: 6112711936, Transformer predicted: 7003590720
[INFO] Current addr: 7003590720, Transformer predicted: 1743896000
[INFO] Current addr: 1743896000, Transformer predicted: 7929168576
[INFO] Current addr: 8474182336, Transformer predicted: 3471373824
[INFO] Current addr: 3471373824, Transformer predicted: 3471374336
[INFO] Current addr: 3471374336, Transformer predicted: 3471374336
[INFO] Current addr: 7882643456, Transformer predicted: 7882643520
[INFO] Current addr: 7882643520, Transformer predicted: 7882643584
[INFO] Current addr: 7882643584, Transformer predicted: 7882643648
[INFO] Current addr: 2494971520, Transformer predicted: 3330122560
[INFO] Current addr: 7882643648, Transformer predicted: 5040483968
[INFO] Current addr: 7882643840, Transformer predicted: 7882643712
[INFO] Current addr: 7882643712, Transformer predicted: 7003590848
[INFO] Current addr: 7003590848, Transformer predicted: 6985208448
[INFO] Current addr: 6985208448, Transformer predicted: 6985208512
[INFO] Current addr: 6985208512, Transformer predicted: 7081077632
[INFO] Current addr: 7081077632, Transformer predicted: 6985208384
[INFO] Current addr: 6109024256, Transformer predicted: 6985208384
[INFO] Current addr: 4530009536, Transformer predicted: 6985209856
[INFO] Current addr: 6985209856, Transformer predicted: 6985209920
[INFO] Current addr: 6985209920, Transformer predicted: 6985210304
[INFO] Current addr: 6985210304, Transformer predicted: 5356506560
[INFO] Current addr: 1625126016, Transformer predicted: 1625126080
[INFO] Current addr: 1625126080, Transformer predicted: 1625126144
[INFO] Current addr: 1625126144, Transformer predicted: 1625126272
[INFO] Current addr: 1625126272, Transformer predicted: 1625126336
[INFO] Current addr: 1625126336, Transformer predicted: 5880790592
[INFO] Current addr: 5880790592, Transformer predicted: 7376621184
[INFO] Current addr: 7376621184, Transformer predicted: 5665879040
[INFO] Current addr: 5665879040, Transformer predicted: 5880790656
[INFO] Current addr: 5880790656, Transformer predicted: 6985209984
[INFO] Current addr: 6985209984, Transformer predicted: 7003590976
[INFO] Current addr: 7003590976, Transformer predicted: 1743896064
[INFO] Current addr: 1743896064, Transformer predicted: 1743896128
[INFO] Current addr: 1743896128, Transformer predicted: 6985208640
[INFO] Current addr: 6985208640, Transformer predicted: 6129127040
[INFO] Current addr: 4530009600, Transformer predicted: 6374249280
[INFO] Current addr: 6129127040, Transformer predicted: 5022316032
[INFO] Current addr: 6374249280, Transformer predicted: 7929168512
[INFO] Current addr: 8474182272, Transformer predicted: 6374249408
[INFO] Current addr: 7882643776, Transformer predicted: 5040484032
[INFO] Current addr: 2494971584, Transformer predicted: 2419192448
[INFO] Current addr: 7882643968, Transformer predicted: 7882644032
[INFO] Current addr: 7882644032, Transformer predicted: 2419192448
[INFO] Current addr: 2419192448, Transformer predicted: 1743895616
[INFO] Current addr: 1743895616, Transformer predicted: 2438779328
[INFO] Current addr: 2438779328, Transformer predicted: 3017438400
[INFO] Current addr: 3017438400, Transformer predicted: 7604506048
[INFO] Current addr: 2494971328, Transformer predicted: 2494971392
[INFO] Current addr: 1743895680, Transformer predicted: 1743895744
[INFO] Current addr: 1743895744, Transformer predicted: 5880788608
[INFO] Current addr: 5880788736, Transformer predicted: 1743894656
[INFO] Current addr: 7003592000, Transformer predicted: 5880788992
[INFO] Current addr: 5880788992, Transformer predicted: 5880789376
[INFO] Current addr: 5880789376, Transformer predicted: 5880789568
[INFO] Current addr: 5880789568, Transformer predicted: 4456537216
[INFO] Current addr: 4456537216, Transformer predicted: 2270470464
[INFO] Current addr: 2270470464, Transformer predicted: 3971878656
[INFO] Current addr: 3971878656, Transformer predicted: 2270470528
[INFO] Current addr: 2270470528, Transformer predicted: 2270470592
[INFO] Current addr: 2270470592, Transformer predicted: 1112600640
